#Acq. time (s)=	2
#Accumulations=	5
#Range=	Off
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector Gain=	Best Dynamic
#Detector ADC=	50 kHz HS
#Detector temperature (°C)=	-75.19
#Instrument=	LabRAM
#Detector=	HJY/EM Detector
#Objective=	x50LWD
#Grating=	1800
#Filter=	10%
#Laser (nm)=	532 
#Spectro (cm-¹)=	499.987
#Slit=	100
#Hole=	1000
#StageXY=	Marzhauser
#X (µm)=	0
#Y (µm)=	0
#Full time(s)=	10
#Project=	
#Sample=	
#Site=	
#Title=	D_1
#Remark=	
#Date=	07.11.2025 09:26
#Acquired=	07.11.2025 09:26:16
#AxisType[0]=Intens
#AxisUnit[0]=Cnt/sec
#AxisType[1]=Spectr
#AxisUnit[1]=1/cm
242.052	4
242.569	5.5
243.083	5
243.599	5.5
244.114	5.75
244.63	5
245.147	5
245.661	4.25
246.177	5.25
246.691	5
247.208	5
247.722	5
248.238	4.25
248.754	6
249.268	4.5
249.785	5.25
250.299	5.25
250.815	5
251.329	5.5
251.845	5.75
252.359	5.25
252.874	4
253.388	5.5
253.904	5.25
254.418	5
254.934	5.25
255.448	5
255.961	5.25
256.477	5
256.991	4.75
257.506	5.25
258.02	5.25
258.536	5
259.049	4.75
259.565	5.75
260.078	5.5
260.592	5.25
261.107	5.25
261.621	5.5
262.136	4.25
262.649	5
263.163	5.5
263.678	5.5
264.191	5.25
264.707	5
265.22	4.5
265.733	5.75
266.248	5
266.761	5.75
267.274	5
267.79	6
268.303	5
268.816	5.5
269.331	6.5
269.844	6
270.356	4.75
270.871	5.25
271.384	5.75
271.897	6
272.412	6
272.925	5.5
273.438	6.25
273.95	5.75
274.465	5.75
274.978	6
275.49	4.75
276.005	6.25
276.517	6.5
277.03	5.5
277.543	4.25
278.057	6
278.57	6.5
279.082	4.75
279.594	6.25
280.107	5.25
280.621	5.25
281.133	6.75
281.646	5.5
282.158	6.25
282.67	6.5
283.184	6
283.697	5.5
284.209	6.5
284.721	5.75
285.233	5.75
285.745	6.5
286.259	6.75
286.771	6.75
287.283	6
287.795	6.75
288.307	7.25
288.819	5.25
289.331	7.25
289.845	6
290.356	6.5
290.868	6.75
291.38	6.25
291.892	6.5
292.403	5.5
292.915	5.75
293.427	7.25
293.938	7.25
294.45	7.25
294.963	7.75
295.475	8
295.986	6
296.498	8
297.009	8
297.521	8
298.032	7.5
298.543	8.75
299.055	9.25
299.566	9.25
300.077	9
300.589	10.5
301.1	9.5
301.611	10.25
302.122	10.25
302.633	9.75
303.144	10.25
303.655	9.5
304.166	10.5
304.677	9.25
305.188	9.25
305.699	9
306.21	10.75
306.721	8.5
307.232	8.5
307.743	8.75
308.251	7.25
308.762	8
309.273	7.25
309.784	6.75
310.294	7
310.805	5.75
311.316	7.5
311.826	6.25
312.337	7.75
312.848	7
313.356	6.75
313.866	7
314.377	6.5
314.887	6.5
315.398	6.75
315.908	6.5
316.419	7.25
316.927	5.25
317.437	6.25
317.947	6
318.458	5.5
318.968	7
319.478	6.5
319.986	6
320.496	6
321.006	6.25
321.516	7.25
322.026	5.75
322.534	7.5
323.044	7.75
323.554	6.5
324.064	6
324.572	6
325.082	5.75
325.592	6.25
326.102	7.5
326.609	6.5
327.119	6.25
327.629	6.25
328.139	6.5
328.646	5
329.156	5.25
329.665	5.75
330.175	6.5
330.682	6.25
331.192	5.5
331.702	5
332.209	5.75
332.718	5.25
333.228	7
333.735	5.25
334.245	5.75
334.754	5.5
335.261	5.5
335.77	6.75
336.28	5.25
336.787	6
337.296	5.25
337.803	6.25
338.312	5.5
338.821	6.5
339.328	6
339.837	5.5
340.344	5.75
340.853	5.5
341.362	5
341.869	5.25
342.378	5.25
342.885	6.75
343.394	5.5
343.903	5.75
344.409	5
344.918	5.75
345.425	5.5
345.934	6.5
346.44	4.5
346.949	5
347.456	5.25
347.964	5.25
348.471	6
348.979	5.75
349.486	5.5
349.994	5.25
350.501	5.5
351.009	5
351.515	4.5
352.024	6.25
352.53	4.5
353.038	5
353.545	4
354.053	5
354.559	5.25
355.067	5.5
355.573	4.5
356.079	6
356.588	5.5
357.094	4.25
357.602	6
358.108	5.25
358.616	5
359.122	4.5
359.628	4.75
360.135	4.5
360.641	4.5
361.147	5.75
361.655	4.5
362.161	4.5
362.669	4.5
363.174	4.75
363.68	4.5
364.188	5.5
364.693	4.75
365.199	5.75
365.707	5.5
366.212	4.25
366.718	5.25
367.225	4.25
367.731	5.25
368.236	4.75
368.743	5
369.249	5.75
369.754	3.75
370.26	5.5
370.767	4.25
371.272	5
371.777	5.25
372.283	4.75
372.79	4.25
373.295	4.5
373.8	5.25
374.305	4.5
374.812	5
375.317	4.5
375.822	4.5
376.327	5.75
376.834	5.5
377.339	5
377.844	4.75
378.349	4.5
378.854	5
379.361	4.25
379.866	4.5
380.37	4.5
380.875	4
381.38	4.75
381.884	4.5
382.391	5.5
382.896	4.75
383.4	5.25
383.905	4.25
384.409	4.5
384.914	3.5
385.418	4.5
385.925	3.75
386.429	4
386.934	5.5
387.438	3.75
387.943	4
388.447	4.75
388.951	3.5
389.455	3.75
389.96	4.75
390.464	4.25
390.968	3.75
391.472	5
391.978	4
392.482	4.75
392.987	4.5
393.491	4.5
393.995	5
394.499	4.25
395.003	5.5
395.506	4.5
396.01	4
396.514	4.25
397.018	4
397.522	5
398.026	3.25
398.529	4.75
399.033	3.5
399.537	5.25
400.041	4.25
400.544	3.25
401.048	4.5
401.549	5
402.053	5
402.557	5
403.06	4
403.564	4.75
404.067	4.5
404.57	4
405.074	4.75
405.577	4
406.081	4.25
406.584	4.5
407.087	4.25
407.588	3.75
408.092	5.25
408.595	4.25
409.098	4.5
409.601	4
410.104	4
410.607	4
411.111	4
411.612	4.5
412.115	4.5
412.618	5
413.12	3.5
413.623	4.25
414.124	4.25
414.627	4.5
415.13	3.5
415.633	5
416.136	5.25
416.636	4.75
417.139	4.75
417.642	4.25
418.145	4.5
418.647	3.5
419.148	3.5
419.65	4.25
420.153	5
420.656	3
421.156	5
421.658	5
422.161	5.75
422.663	4.25
423.164	3.5
423.666	5
424.168	4.75
424.669	3.5
425.171	4.75
425.673	4.5
426.174	3.75
426.676	5
427.178	5
427.678	3.75
428.18	4.25
428.682	5
429.182	3.75
429.684	5.5
430.186	5
430.686	5.5
431.188	5.5
431.69	4.5
432.19	5
432.692	5.75
433.192	5.25
433.694	5
434.196	4
434.695	4.75
435.197	4.5
435.697	4.25
436.198	5
436.7	4
437.2	4.5
437.701	4.25
438.201	4
438.702	4.5
439.202	4.25
439.703	3.25
440.203	4.5
440.704	4
441.204	4
441.705	4
442.204	3.75
442.706	5.25
443.205	5.25
443.706	4
444.206	4.5
444.707	4
445.206	4
445.707	4.5
446.206	4.25
446.707	4.5
447.206	4.5
447.707	4
448.206	4.25
448.707	4.5
449.206	3.5
449.705	3.5
450.206	4
450.705	3.75
451.206	3
451.705	3.75
452.204	2.5
452.704	3.25
453.203	3.5
453.704	3.75
454.203	3.25
454.701	3
455.202	3
455.7	2.75
456.199	3
456.7	3.5
457.198	2
457.699	2.5
458.197	1.75
458.695	2.75
459.196	3
459.694	3
460.193	1.75
460.691	3
461.191	2.75
461.69	2.75
462.188	3.25
462.688	2.25
463.186	3.25
463.684	3.5
464.182	4
464.683	3.5
465.181	3.5
465.679	3.25
466.177	3.75
466.677	4
467.175	4
467.673	4
468.171	4.75
468.671	2.5
469.168	3.5
469.666	3.5
470.164	4.25
470.662	4.25
471.162	3.5
471.659	3.5
472.157	3.5
472.655	2.75
473.152	4.25
473.652	3.5
474.15	4
474.647	4.5
475.145	4.25
475.642	3.5
476.14	4.5
476.637	4.75
477.134	4.5
477.634	4.5
478.131	4.25
478.629	4.5
479.126	4.75
479.623	4
480.12	4.5
480.618	3.5
481.115	4
481.612	5.25
482.109	4.75
482.608	5.25
483.105	4.75
483.603	5.75
484.1	4.25
484.597	5.25
485.094	5.75
485.591	5.5
486.087	4.5
486.584	5.25
487.081	4.5
487.578	4.5
488.075	5.5
488.572	6.5
489.069	5.25
489.565	3.5
490.062	6.75
490.559	6
491.055	5.5
491.552	5.5
492.049	5.75
492.545	6.25
493.042	7.25
493.538	6.25
494.033	6
494.529	6.25
495.026	6.5
495.522	6.25
496.018	6.75
496.515	7.5
497.011	6.75
497.508	7
498.004	7.75
498.5	8
498.996	8.5
499.49	7.75
499.987	8.75
500.483	8.75
500.979	9
501.475	9
501.971	10.25
502.467	10.25
502.961	11.75
503.457	11
503.953	11.75
504.449	12.5
504.945	13.25
505.439	13.5
505.935	13.25
506.43	15.5
506.926	15.5
507.422	16.5
507.916	20
508.411	17.75
508.907	22.5
509.403	23
509.898	23.25
510.392	26.25
510.888	30
511.383	32.25
511.877	33
512.372	37
512.868	43
513.363	50
513.857	55.75
514.352	64
514.847	73.25
515.341	85
515.836	104.75
516.331	125.5
516.826	153.5
517.32	191
517.815	253.5
518.31	334
518.803	465.5
519.298	644.25
519.793	890.75
520.286	1145.25
520.782	1265.5
521.275	1147
521.77	893.75
522.265	647.5
522.757	462.25
523.252	338
523.745	252.5
524.24	193.75
524.735	152.5
525.228	124.25
525.722	103.5
526.215	86.75
526.71	73
527.205	62.5
527.697	56
528.192	48
528.685	41.75
529.179	39.5
529.672	34.5
530.166	32.75
530.659	29
531.153	28
